"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US48029180800","Census Tract 1808, Bexar County, Texas","2468","501"
"1400000US48245002500","Census Tract 25, Jefferson County, Texas","3522","441"
"1400000US48467950100","Census Tract 9501, Van Zandt County, Texas","5284","462"
"1400000US48439100800","Census Tract 1008, Tarrant County, Texas","6566","654"
"1400000US48217960700","Census Tract 9607, Hill County, Texas","2089","219"
"1400000US48201553700","Census Tract 5537, Harris County, Texas","4242","440"
"1400000US48183000300","Census Tract 3, Gregg County, Texas","5077","451"
"1400000US48121020900","Census Tract 209, Denton County, Texas","4735","331"
"1400000US48427950500","Census Tract 9505, Starr County, Texas","4582","628"
"1400000US48201251501","Census Tract 2515.01, Harris County, Texas","5973","400"
"1400000US48113001400","Census Tract 14, Dallas County, Texas","3785","387"
"1400000US48029121122","Census Tract 1211.22, Bexar County, Texas","5745","288"
"1400000US48409010800","Census Tract 108, San Patricio County, Texas","4194","314"
"1400000US48479000105","Census Tract 1.05, Webb County, Texas","2571","367"
"1400000US48201550603","Census Tract 5506.03, Harris County, Texas","6406","545"
"1400000US48315950100","Census Tract 9501, Marion County, Texas","2028","315"
"1400000US48339691000","Census Tract 6910, Montgomery County, Texas","3984","203"
"1400000US48299970100","Census Tract 9701, Llano County, Texas","3008","396"
"1400000US48201222600","Census Tract 2226, Harris County, Texas","5109","485"
"1400000US48027021700","Census Tract 217, Bell County, Texas","8395","740"
"1400000US48215023513","Census Tract 235.13, Hidalgo County, Texas","9470","1102"
"1400000US48007950500","Census Tract 9505, Aransas County, Texas","6338","941"
"1400000US48029131606","Census Tract 1316.06, Bexar County, Texas","5962","520"
"1400000US48201554402","Census Tract 5544.02, Harris County, Texas","16708","929"
"1400000US48201432200","Census Tract 4322, Harris County, Texas","4994","450"
"1400000US48113014502","Census Tract 145.02, Dallas County, Texas","5276","469"
"1400000US48201430900","Census Tract 4309, Harris County, Texas","5900","512"
"1400000US48439103800","Census Tract 1038, Tarrant County, Texas","3495","546"
"1400000US48439105007","Census Tract 1050.07, Tarrant County, Texas","5201","568"
"1400000US48201454502","Census Tract 4545.02, Harris County, Texas","2597","127"
"1400000US48321730201","Census Tract 7302.01, Matagorda County, Texas","6550","767"
"1400000US48381021900","Census Tract 219, Randall County, Texas","5171","339"
"1400000US48117950600","Census Tract 9506, Deaf Smith County, Texas","3778","212"
"1400000US48337950500","Census Tract 9505, Montague County, Texas","5425","252"
"1400000US48453002419","Census Tract 24.19, Travis County, Texas","4833","516"
"1400000US48491020311","Census Tract 203.11, Williamson County, Texas","6248","527"
"1400000US48027022501","Census Tract 225.01, Bell County, Texas","3015","303"
"1400000US48121020106","Census Tract 201.06, Denton County, Texas","8220","322"
"1400000US48041001301","Census Tract 13.01, Brazos County, Texas","2630","358"
"1400000US48113000405","Census Tract 4.05, Dallas County, Texas","2038","449"
"1400000US48201422301","Census Tract 4223.01, Harris County, Texas","8193","1102"
"1400000US48113016625","Census Tract 166.25, Dallas County, Texas","10471","791"
